RetainedTxp	DuplicateTxp
lcl|NT_033779.5_cds_NP_610081.3_10767	lcl|NT_033779.5_cds_NP_001260655.1_10768
lcl|NT_033779.5_cds_NP_610081.3_10767	lcl|NT_033779.5_cds_NP_001260656.1_10769
lcl|NT_033779.5_cds_NP_610081.3_10767	lcl|NT_033779.5_cds_NP_001260657.1_10770
lcl|NT_033778.4_cds_NP_611279.1_15126	lcl|NT_033778.4_cds_NP_001286556.1_15127
lcl|NT_033779.5_cds_NP_608923.1_6900	lcl|NT_033779.5_cds_NP_723079.1_6901
lcl|NT_033779.5_cds_NP_608923.1_6900	lcl|NT_033779.5_cds_NP_723080.1_6902
lcl|NT_033779.5_cds_NP_608923.1_6900	lcl|NT_033779.5_cds_NP_001245889.1_6903
lcl|NT_033779.5_cds_NP_608923.1_6900	lcl|NT_033779.5_cds_NP_001245890.1_6904
lcl|NT_033779.5_cds_NP_608923.1_6900	lcl|NT_033779.5_cds_NP_001285626.1_6905
lcl|NT_033779.5_cds_NP_001097086.1_6708	lcl|NT_033779.5_cds_NP_608874.1_6709
lcl|NT_033779.5_cds_NP_001097086.1_6708	lcl|NT_033779.5_cds_NP_723021.1_6710
lcl|NT_033779.5_cds_NP_001097086.1_6708	lcl|NT_033779.5_cds_NP_723022.1_6711
lcl|NT_037436.4_cds_NP_648349.1_19977	lcl|NT_037436.4_cds_NP_729534.1_19978
lcl|NT_033779.5_cds_NP_524863.3_10492	lcl|NT_033779.5_cds_NP_001286088.1_10493
lcl|NT_037436.4_cds_NP_612069.1_17533	lcl|NT_037436.4_cds_NP_001286894.1_17534
lcl|NT_033778.4_cds_NP_001286232.1_12361	lcl|NT_033778.4_cds_NP_001286233.1_12362
lcl|NT_033778.4_cds_NP_001286232.1_12361	lcl|NT_033778.4_cds_NP_001286234.1_12363
lcl|NT_033778.4_cds_NP_001286232.1_12361	lcl|NT_033778.4_cds_NP_001286235.1_12364
lcl|NT_033777.3_cds_NP_731951.2_26045	lcl|NT_033777.3_cds_NP_996212.1_26046
lcl|NT_033777.3_cds_NP_731951.2_26045	lcl|NT_033777.3_cds_NP_650398.3_26047
lcl|NT_033778.4_cds_NP_001163284.1_16950	lcl|NT_033778.4_cds_NP_001163285.1_16951
lcl|NC_004354.4_cds_NP_001245720.1_4193	lcl|NC_004354.4_cds_NP_996491.1_4194
lcl|NT_037436.4_cds_NP_730713.1_22947	lcl|NT_037436.4_cds_NP_001287144.1_22948
lcl|NT_033777.3_cds_NP_650771.1_27117	lcl|NT_033777.3_cds_NP_001287400.1_27118
lcl|NT_033777.3_cds_NP_732935.2_28400	lcl|NT_033777.3_cds_NP_001163709.2_28401
lcl|NT_033777.3_cds_NP_001036689.1_24435	lcl|NT_033777.3_cds_NP_001036688.2_24436
lcl|NT_033779.5_cds_NP_610052.1_10675	lcl|NT_033779.5_cds_NP_724282.2_10676
lcl|NT_037436.4_cds_NP_649404.1_23002	lcl|NT_037436.4_cds_NP_001262214.1_23003
lcl|NT_033777.3_cds_NP_001369003.1_24943	lcl|NT_033777.3_cds_NP_001369009.1_24944
lcl|NT_033777.3_cds_NP_001246933.1_23686	lcl|NT_033777.3_cds_NP_001246934.1_23687
lcl|NC_004354.4_cds_NP_001356941.1_2521	lcl|NC_004354.4_cds_NP_001356942.1_2522
lcl|NT_033777.3_cds_NP_649496.3_23448	lcl|NT_033777.3_cds_NP_001189170.1_23449
lcl|NT_033778.4_cds_NP_726061.1_16016	lcl|NT_033778.4_cds_NP_001163235.1_16017
lcl|NT_033778.4_cds_NP_726061.1_16016	lcl|NT_033778.4_cds_NP_001261123.1_16018
lcl|NC_004354.4_cds_NP_569994.1_637	lcl|NC_004354.4_cds_NP_726805.1_638
lcl|NC_004354.4_cds_NP_569994.1_637	lcl|NC_004354.4_cds_NP_001284819.1_639
lcl|NC_004354.4_cds_NP_569994.1_637	lcl|NC_004354.4_cds_NP_001284820.1_640
lcl|NC_004354.4_cds_NP_569895.1_269	lcl|NC_004354.4_cds_NP_001284768.1_270
lcl|NT_037436.4_cds_NP_001097643.1_22106	lcl|NT_037436.4_cds_NP_524155.1_22107
lcl|NT_037436.4_cds_NP_001097643.1_22106	lcl|NT_037436.4_cds_NP_001137971.1_22108
lcl|NT_037436.4_cds_NP_001097643.1_22106	lcl|NT_037436.4_cds_NP_730389.1_22109
lcl|NT_037436.4_cds_NP_001097643.1_22106	lcl|NT_037436.4_cds_NP_001262036.1_22110
lcl|NT_037436.4_cds_NP_001097643.1_22106	lcl|NT_037436.4_cds_NP_001262038.1_22111
lcl|NT_033777.3_cds_NP_649815.1_24403	lcl|NT_033777.3_cds_NP_001262381.1_24404
lcl|NT_037436.4_cds_NP_648424.1_20220	lcl|NT_037436.4_cds_NP_729648.1_20221
lcl|NC_004354.4_cds_NP_523410.1_4827	lcl|NC_004354.4_cds_NP_728266.1_4828
lcl|NT_033779.5_cds_NP_477427.1_5679	lcl|NT_033779.5_cds_NP_001162845.1_5680
lcl|NT_033779.5_cds_NP_652589.1_10593	lcl|NT_033779.5_cds_NP_001286097.1_10594
lcl|NT_033779.5_cds_NP_652589.1_10593	lcl|NT_033779.5_cds_NP_001286098.1_10595
lcl|NT_033777.3_cds_NP_001262757.1_27406	lcl|NT_033777.3_cds_NP_001014643.1_27407
lcl|NT_037436.4_cds_NP_649125.1_22195	lcl|NT_037436.4_cds_NP_730429.2_22196
lcl|NT_033778.4_cds_NP_001246397.1_14957	lcl|NT_033778.4_cds_NP_001027437.1_14958
lcl|NT_033779.5_cds_NP_652575.1_9670	lcl|NT_033779.5_cds_NP_001260477.1_9671
lcl|NT_033779.5_cds_NP_652575.1_9670	lcl|NT_033779.5_cds_NP_001285972.1_9672
lcl|NT_037436.4_cds_NP_648292.1_19792	lcl|NT_037436.4_cds_NP_001261618.1_19793
lcl|NT_037436.4_cds_NP_648292.1_19792	lcl|NT_037436.4_cds_NP_001261619.1_19794
lcl|NT_037436.4_cds_NP_648292.1_19792	lcl|NT_037436.4_cds_NP_001261620.1_19795
lcl|NT_033778.4_cds_NP_724802.1_12502	lcl|NT_033778.4_cds_NP_610500.2_12503
lcl|NT_033778.4_cds_NP_610835.2_13611	lcl|NT_033778.4_cds_NP_001286371.1_13612
lcl|NT_033777.3_cds_NP_001334699.1_28467	lcl|NT_033777.3_cds_NP_477430.1_28468
lcl|NC_004354.4_cds_NP_569852.1_151	lcl|NC_004354.4_cds_NP_001284754.1_152
lcl|NC_004354.4_cds_NP_572232.2_1249	lcl|NC_004354.4_cds_NP_001284898.1_1250
lcl|NT_033779.5_cds_NP_001285631.1_6962	lcl|NT_033779.5_cds_NP_001285632.1_6963
lcl|NT_033778.4_cds_NP_001097348.1_14747	lcl|NT_033778.4_cds_NP_001286504.1_14748
lcl|NT_033778.4_cds_NP_001097348.1_14747	lcl|NT_033778.4_cds_NP_001286505.1_14749
lcl|NT_033779.5_cds_NP_001036331.1_6645	lcl|NT_033779.5_cds_NP_001285604.1_6646
lcl|NT_033777.3_cds_NP_650797.1_27166	lcl|NT_033777.3_cds_NP_001287405.1_27167
lcl|NT_033779.5_cds_NP_652358.1_5805	lcl|NT_033779.5_cds_NP_001259864.1_5806
lcl|NT_033777.3_cds_NP_651868.1_30321	lcl|NT_033777.3_cds_NP_733430.1_30322
lcl|NT_033777.3_cds_NP_651868.1_30321	lcl|NT_033777.3_cds_NP_001263144.1_30323
lcl|NT_033777.3_cds_NP_730823.2_23324	lcl|NT_033777.3_cds_NP_649460.3_23325
lcl|NT_033777.3_cds_NP_730823.2_23324	lcl|NT_033777.3_cds_NP_730821.2_23326
lcl|NT_033777.3_cds_NP_730823.2_23324	lcl|NT_033777.3_cds_NP_730822.2_23327
lcl|NT_037436.4_cds_NP_524003.1_19907	lcl|NT_037436.4_cds_NP_001261632.1_19908
lcl|NC_004354.4_cds_NP_573203.2_4299	lcl|NC_004354.4_cds_NP_001285368.1_4300
lcl|NT_033778.4_cds_NP_610190.2_11351	lcl|NT_033778.4_cds_NP_001286144.1_11352
lcl|NT_033777.3_cds_NP_001097796.1_26071	lcl|NT_033777.3_cds_NP_001287333.1_26072
lcl|NT_033778.4_cds_NP_611572.2_15988	lcl|NT_033778.4_cds_NP_001286672.1_15989
lcl|NC_004354.4_cds_NP_524684.2_4104	lcl|NC_004354.4_cds_NP_001285334.1_4105
lcl|NT_033779.5_cds_NP_609082.1_7363	lcl|NT_033779.5_cds_NP_001260166.1_7364
lcl|NT_033777.3_cds_NP_731489.2_24993	lcl|NT_033777.3_cds_NP_001014614.1_24994
lcl|NT_033777.3_cds_NP_001163603.1_25760	lcl|NT_033777.3_cds_NP_788669.1_25761
lcl|NT_033778.4_cds_NP_477439.2_11434	lcl|NT_033778.4_cds_NP_001260726.1_11435
lcl|NC_004354.4_cds_NP_525053.1_727	lcl|NC_004354.4_cds_NP_001284830.1_728
lcl|NT_033777.3_cds_NP_001163577.1_24780	lcl|NT_033777.3_cds_NP_001163578.1_24781
